Time,FHR
0.0,1.0
0.002,1.2
0.004,0.0
0.006,0.2
0.008,-1.2
0.01,-0.2
0.012,-4.8
0.014,-6.4
0.016,-4.2
0.018000000000000002,-4.4
0.02,-2.4
0.022,4.0
0.024,5.0
0.026000000000000002,-3.8
0.028,-5.0
0.03,-1.6
0.032,-1.2
0.034,-0.8
0.036000000000000004,-2.4
0.038,3.8
0.04,3.0
0.042,-1.8
0.044,0.8
0.046,1.2
0.048,-2.2
0.05,4.0
0.052000000000000005,5.4
0.054,3.2
0.056,-4.0
0.058,1.6
0.06,0.0
0.062,-5.6
0.064,-5.0
0.066,-4.4
0.068,-0.6
0.07,-2.8
0.07200000000000001,-5.4
0.074,-0.4
0.076,-3.8
0.078,-11.4
0.08,-4.0
0.082,5.2
0.084,4.2
0.08600000000000001,-0.4
0.088,-2.6
0.09,-1.4
0.092,-2.0
0.094,0.6
0.096,4.6
0.098,2.2
0.1,-1.8
0.10200000000000001,-3.6
0.10400000000000001,0.2
0.106,-0.8
0.108,-4.8
0.11,-5.8
0.112,2.4
0.114,-0.2
0.116,-2.2
0.11800000000000001,0.4
0.12,1.0
0.122,1.0
0.124,-5.0
0.126,-11.8
0.128,-6.0
0.13,3.6
0.132,1.4
0.134,1.8
0.136,0.2
0.138,-2.4
0.14,-4.2
0.14200000000000002,-7.4
0.14400000000000002,0.6
0.146,1.6
0.148,-4.2
0.15,1.8
0.152,1.0
0.154,0.4
0.156,0.2
0.158,-0.6
0.16,-2.8
0.162,-1.0
0.164,1.8
0.166,-0.2
0.168,-1.6
0.17,5.0
0.17200000000000001,1.2
0.17400000000000002,-5.4
0.176,2.4
0.178,4.4
0.18,-1.0
0.182,0.0
0.184,5.2
0.186,10.0
0.188,5.6
0.19,4.4
0.192,3.6
0.194,1.2
0.196,1.8
0.198,3.0
0.2,1.4
0.202,0.6
0.20400000000000001,-1.4
0.20600000000000002,1.8
0.20800000000000002,1.6
0.21,1.8
0.212,1.2
0.214,-3.0
0.216,-3.6
0.218,-1.2
0.22,4.0
0.222,2.8
0.224,-6.4
0.226,-7.2
0.228,-3.2
0.23,0.6
0.232,-0.6
0.234,-0.4
0.23600000000000002,-7.4
0.23800000000000002,-9.0
0.24,-5.4
0.242,-5.8
0.244,-5.8
0.246,-0.6
0.248,1.4
0.25,1.4
0.252,1.8
0.254,-3.0
0.256,-5.0
0.258,-1.8
0.26,-0.8
0.262,-4.0
0.264,-4.2
0.266,0.6
0.268,-0.8
0.27,-1.4
0.272,-4.6
0.274,-3.4
0.276,0.4
0.278,-4.4
0.28,-10.4
0.28200000000000003,-6.6
0.28400000000000003,2.2
0.28600000000000003,3.8
0.28800000000000003,4.8
0.29,11.4
0.292,16.2
0.294,21.2
0.296,25.4
0.298,21.6
0.3,22.2
0.302,23.0
0.304,21.8
0.306,17.8
0.308,13.6
0.31,14.8
0.312,11.6
0.314,9.0
0.316,5.6
0.318,-2.4
0.32,-1.6
0.322,-5.8
0.324,-9.2
0.326,-10.0
0.328,-8.6
0.33,-5.8
0.332,-2.2
0.334,1.0
0.336,5.0
0.338,2.2
0.34,4.2
0.342,3.6
0.34400000000000003,-1.6
0.34600000000000003,-1.4
0.34800000000000003,-3.0
0.35000000000000003,-4.2
0.352,-0.2
0.354,-0.4
0.356,-9.2
0.358,-16.2
0.36,-10.6
0.362,-1.2
0.364,3.6
0.366,2.0
0.368,0.0
0.37,-3.6
0.372,-3.6
0.374,-2.8
0.376,-4.2
0.378,-0.6
0.38,-1.6
0.382,-6.8
0.384,-5.4
0.386,6.6
0.388,6.4
0.39,3.8
0.392,-4.4
0.394,-6.2
0.396,-7.2
0.398,-4.0
0.4,-2.8
0.402,-1.2
0.404,-1.6
0.406,0.6
0.40800000000000003,4.6
0.41000000000000003,3.6
0.41200000000000003,1.4
0.41400000000000003,-2.2
0.41600000000000004,-4.4
0.418,-2.8
0.42,1.6
0.422,4.4
0.424,0.6
0.426,-1.2
0.428,-2.6
0.43,-0.4
0.432,0.4
0.434,0.2
0.436,6.6
0.438,0.2
0.44,-1.4
0.442,-2.2
0.444,-0.4
0.446,2.8
0.448,-6.4
0.45,-5.4
0.452,-5.0
0.454,-2.2
0.456,3.0
0.458,5.2
0.46,11.0
0.462,8.8
0.464,9.2
0.466,14.0
0.468,11.6
0.47000000000000003,12.2
0.47200000000000003,1.2
0.47400000000000003,-4.2
0.47600000000000003,-5.4
0.47800000000000004,-2.0
0.48,2.6
0.482,7.6
0.484,12.4
0.486,11.8
0.488,10.4
0.49,16.8
0.492,15.4
0.494,9.2
0.496,7.6
0.498,13.8
0.5,14.4
0.502,12.6
0.504,7.0
0.506,14.6
0.508,17.2
0.51,17.8
0.512,20.8
0.514,17.6
0.516,20.8
0.518,19.4
0.52,23.4
0.522,22.6
0.524,18.8
0.526,13.6
0.528,12.6
0.53,8.8
0.532,8.0
0.534,11.2
0.536,15.2
0.538,13.6
0.54,16.8
0.542,12.6
0.544,5.8
0.546,1.2
0.548,-2.2
0.55,-9.2
0.552,-10.6
0.554,0.6
0.556,0.8
0.558,3.6
0.56,1.6
0.562,0.0
0.5640000000000001,3.4
0.5660000000000001,3.2
0.5680000000000001,1.2
0.5700000000000001,0.4
0.5720000000000001,-4.8
0.5740000000000001,-5.8
0.5760000000000001,1.0
0.578,2.8
0.58,3.0
0.582,5.6
0.584,3.8
0.586,-0.8
0.588,-0.8
0.59,-6.4
0.592,-8.8
0.594,-4.8
0.596,1.6
0.598,3.4
0.6,5.0
0.602,2.6
0.604,-3.4
0.606,4.2
0.608,-0.4
0.61,-2.6
0.612,-2.8
0.614,4.2
0.616,2.6
0.618,10.6
0.62,10.8
0.622,4.8
0.624,2.2
0.626,-1.0
0.628,0.6
0.63,-1.4
0.632,-3.0
0.634,-0.8
0.636,0.0
0.638,7.4
0.64,10.4
0.642,10.2
0.644,9.6
0.646,7.8
0.648,-2.0
0.65,-6.6
0.652,-4.6
0.654,-1.4
0.656,2.0
0.658,3.0
0.66,2.8
0.662,0.6
0.664,-3.8
0.666,-8.8
0.668,-5.6
0.67,2.2
0.672,3.6
0.674,7.6
0.676,10.2
0.678,7.0
0.68,1.6
0.682,3.2
0.684,1.2
0.686,-5.2
0.6880000000000001,-7.6
0.6900000000000001,-6.0
0.6920000000000001,-1.6
0.6940000000000001,5.2
0.6960000000000001,10.6
0.6980000000000001,10.4
0.7000000000000001,12.2
0.7020000000000001,11.4
0.704,-3.8
0.706,-6.4
0.708,-6.0
0.71,-7.0
0.712,-2.2
0.714,1.2
0.716,3.6
0.718,-0.2
0.72,5.2
0.722,6.4
0.724,3.4
0.726,3.0
0.728,1.8
0.73,-1.4
0.732,-4.0
0.734,-1.6
0.736,1.4
0.738,3.6
0.74,4.2
0.742,2.0
0.744,1.6
0.746,-3.8
0.748,-6.4
0.75,-1.6
0.752,-2.0
0.754,-4.2
0.756,-0.8
0.758,8.6
0.76,10.8
0.762,8.6
0.764,10.8
0.766,1.6
0.768,0.2
0.77,-7.0
0.772,-11.0
0.774,-10.6
0.776,-6.6
0.778,-4.0
0.78,3.2
0.782,12.0
0.784,21.4
0.786,24.6
0.788,22.4
0.79,19.2
0.792,17.0
0.794,15.4
0.796,36.0
0.798,47.4
0.8,42.4
0.802,35.2
0.804,25.4
0.806,18.4
0.808,39.0
0.81,43.4
0.812,41.8
0.8140000000000001,40.4
0.8160000000000001,40.4
0.8180000000000001,40.4
0.8200000000000001,46.6
0.8220000000000001,47.8
0.8240000000000001,55.2
0.8260000000000001,59.0
0.8280000000000001,59.8
0.8300000000000001,62.2
0.8320000000000001,79.2
0.834,72.8
0.836,63.6
0.838,65.4
0.84,69.6
0.842,67.8
0.844,69.2
0.846,73.6
0.848,71.2
0.85,64.2
0.852,61.6
0.854,66.8
0.856,67.0
0.858,65.0
0.86,62.2
0.862,61.6
0.864,58.0
0.866,52.4
0.868,56.6
0.87,60.4
0.872,63.4
0.874,62.2
0.876,63.0
0.878,64.2
0.88,67.2
0.882,69.2
0.884,67.2
0.886,65.6
0.888,63.4
0.89,67.6
0.892,70.2
0.894,73.2
0.896,70.6
0.898,76.2
0.9,76.4
0.902,67.0
0.904,68.6
0.906,65.4
0.908,70.4
0.91,74.2
0.912,72.4
0.914,73.2
0.916,75.8
0.918,76.8
0.92,72.8
0.922,72.0
0.924,69.8
0.926,65.8
0.928,67.6
0.93,77.6
0.932,82.0
0.934,87.6
0.936,88.8
0.9380000000000001,90.8
0.9400000000000001,90.2
0.9420000000000001,87.4
0.9440000000000001,83.2
0.9460000000000001,82.2
0.9480000000000001,72.8
0.9500000000000001,64.6
0.9520000000000001,70.0
0.9540000000000001,69.4
0.9560000000000001,64.0
0.9580000000000001,60.4
0.96,64.8
0.962,59.6
0.964,63.4
0.966,60.4
0.968,51.2
0.97,52.2
0.972,57.4
0.974,61.4
0.976,57.4
0.978,56.2
0.98,53.2
0.982,54.6
0.984,49.6
0.986,49.8
0.988,48.2
0.99,42.8
0.992,39.4
0.994,39.4
0.996,43.2
0.998,45.0
1.0,43.8
1.002,38.4
1.004,36.2
1.006,37.0
1.008,35.8
1.01,31.4
1.012,33.4
1.014,37.6
1.016,34.8
1.018,39.8
1.02,33.8
1.022,30.8
1.024,31.6
1.026,30.6
1.028,30.0
1.03,29.0
1.032,26.0
1.034,26.6
1.036,28.4
1.038,25.4
1.04,26.2
1.042,29.2
1.044,26.6
1.046,26.0
1.048,24.6
1.05,21.4
1.052,22.8
1.054,27.2
1.056,24.6
1.058,24.4
1.06,22.0
1.062,22.0
1.064,23.4
1.066,22.6
1.068,22.2
1.07,15.6
1.072,15.4
1.074,21.8
1.076,23.0
1.078,23.6
1.08,23.8
1.082,25.4
1.084,28.0
1.086,27.8
1.088,15.6
1.09,7.8
1.092,15.0
1.094,19.0
1.096,20.2
1.098,20.2
1.1,17.2
1.102,17.4
1.104,22.4
1.106,22.8
1.108,24.0
1.11,21.2
1.112,17.2
1.114,20.0
1.116,21.6
1.118,23.0
1.12,26.4
1.122,21.0
1.124,17.4
1.1260000000000001,19.8
1.1280000000000001,19.8
1.1300000000000001,22.2
1.1320000000000001,20.8
1.1340000000000001,19.2
1.1360000000000001,22.0
1.1380000000000001,28.8
1.1400000000000001,22.6
1.1420000000000001,28.0
1.1440000000000001,28.8
1.1460000000000001,26.0
1.1480000000000001,19.8
1.1500000000000001,28.4
1.1520000000000001,28.0
1.154,26.0
1.156,23.8
1.158,30.2
1.16,28.2
1.162,23.6
1.164,24.2
1.166,22.6
1.168,25.6
1.17,25.8
1.172,25.4
1.174,25.8
1.176,23.8
1.178,20.2
1.18,19.2
1.182,16.0
1.184,14.8
1.186,17.2
1.188,15.8
1.19,11.0
1.192,8.2
1.194,8.6
1.196,11.0
1.198,6.0
1.2,5.8
1.202,9.4
1.204,14.0
1.206,13.8
1.208,7.2
1.21,4.4
1.212,7.0
1.214,2.8
1.216,5.2
1.218,6.6
1.22,6.6
1.222,9.0
1.224,6.8
1.226,12.4
1.228,12.0
1.23,6.2
1.232,-1.0
1.234,-3.4
1.236,-4.6
1.238,-7.4
1.24,-1.2
1.242,4.6
1.244,10.0
1.246,12.6
1.248,7.2
1.25,2.0
1.252,6.6
1.254,9.4
1.256,6.4
1.258,3.2
1.26,0.0
1.262,-4.2
1.264,0.0
1.266,6.8
1.268,9.6
1.27,8.2
1.272,6.2
1.274,2.6
1.276,5.4
1.278,1.6
1.28,2.4
1.282,-0.6
1.284,-2.0
1.286,0.4
1.288,-2.0
1.29,0.2
1.292,4.2
1.294,6.0
1.296,3.8
1.298,-2.0
1.3,-0.2
1.302,0.6
1.304,3.0
1.306,6.6
1.308,9.0
1.31,4.6
1.312,8.0
1.314,5.0
1.316,1.4
1.318,1.0
1.32,-2.6
1.322,-1.0
1.324,1.8
1.326,2.0
1.328,2.0
1.33,5.6
1.332,7.4
1.334,1.2
1.336,3.2
1.338,6.4
1.34,5.4
1.342,4.6
1.344,1.8
1.346,3.0
1.348,2.4
1.35,3.0
1.352,1.4
1.354,0.2
1.356,-0.2
1.358,-1.2
1.36,-2.6
1.362,-1.8
1.364,10.2
1.366,6.8
1.368,6.6
1.37,3.0
1.372,2.2
1.374,-1.6
1.3760000000000001,-7.0
1.3780000000000001,-4.6
1.3800000000000001,2.8
1.3820000000000001,2.8
1.3840000000000001,6.6
1.3860000000000001,5.4
1.3880000000000001,4.0
1.3900000000000001,1.8
1.3920000000000001,0.4
1.3940000000000001,-0.8
1.3960000000000001,2.4
1.3980000000000001,2.6
1.4000000000000001,2.4
1.4020000000000001,-0.6
1.4040000000000001,-1.2
1.4060000000000001,3.6
1.408,0.8
1.41,-2.4
1.412,0.0
1.414,2.4
1.416,6.0
1.418,5.0
1.42,4.4
1.422,3.6
1.424,0.6
1.426,-3.6
1.428,-3.0
1.43,0.2
1.432,9.8
1.434,12.4
1.436,11.6
1.438,8.6
1.44,3.6
1.442,-3.0
1.444,-5.2
1.446,-1.8
1.448,6.0
1.45,8.0
1.452,14.4
1.454,8.2
1.456,7.4
1.458,4.0
1.46,3.8
1.462,3.4
1.464,-4.8
1.466,-7.4
1.468,3.0
1.47,6.4
1.472,9.8
1.474,9.2
1.476,5.8
1.478,0.4
1.48,0.6
1.482,-0.6
1.484,-9.4
1.486,-10.8
1.488,-7.0
1.49,-3.8
1.492,-1.8
1.494,2.0
1.496,-0.2
1.498,2.8
1.5,3.8
1.502,3.4
1.504,1.4
1.506,-0.6
1.508,-5.0
1.51,-4.2
1.512,-0.8
1.514,-4.2
1.516,-7.2
1.518,-9.4
1.52,-6.0
1.522,1.4
1.524,-1.6
1.526,-0.8
1.528,-0.6
1.53,-5.4
1.532,-0.6
1.534,-1.6
1.536,-2.6
1.538,-3.4
1.54,-1.8
1.542,5.2
1.544,13.4
1.546,16.8
1.548,15.6
1.55,17.6
1.552,19.6
1.554,24.0
1.556,25.8
1.558,27.4
1.56,32.2
1.562,29.0
1.564,24.2
1.566,20.2
1.568,16.8
1.57,11.6
1.572,6.4
1.574,8.2
1.576,8.0
1.578,7.0
1.58,5.8
1.582,-0.4
1.584,-2.8
1.586,-2.2
1.588,-3.6
1.59,-5.4
1.592,-2.8
1.594,-5.0
1.596,-5.8
1.598,-3.6
1.6,-3.6
1.602,-1.0
1.604,-0.2
1.606,-2.8
1.608,-3.4
1.61,-5.2
1.612,-5.2
1.614,0.2
1.616,1.2
1.618,0.6
1.62,7.4
1.622,9.4
1.624,2.6
1.6260000000000001,-0.2
1.6280000000000001,-4.6
1.6300000000000001,-11.4
1.6320000000000001,-10.0
1.6340000000000001,-10.8
1.6360000000000001,-3.0
1.6380000000000001,-2.4
1.6400000000000001,0.0
1.6420000000000001,0.0
1.6440000000000001,0.2
1.6460000000000001,-1.6
1.6480000000000001,-0.2
1.6500000000000001,-4.6
1.6520000000000001,-5.6
1.6540000000000001,-1.6
1.6560000000000001,-3.0
1.6580000000000001,-2.6
1.6600000000000001,0.0
1.6620000000000001,0.8
1.6640000000000001,2.4
1.666,11.2
1.668,9.8
1.67,3.6
1.672,-0.2
1.674,-4.8
1.676,-4.4
1.678,-4.4
1.68,-2.0
1.682,-1.4
1.684,0.8
1.686,-2.6
1.688,1.0
1.69,0.4
1.692,1.4
1.694,1.4
1.696,-1.0
1.698,-1.2
1.7,0.8
1.702,2.2
1.704,9.4
1.706,15.6
1.708,17.0
1.71,13.0
1.712,2.0
1.714,-1.0
1.716,-1.0
1.718,-2.0
1.72,-2.8
1.722,0.2
1.724,2.4
1.726,1.2
1.728,1.4
1.73,8.8
1.732,12.0
1.734,13.6
1.736,10.8
1.738,12.2
1.74,11.8
1.742,12.2
1.744,14.8
1.746,14.4
1.748,13.4
1.75,15.2
1.752,9.0
1.754,9.0
1.756,8.0
1.758,13.0
1.76,12.6
1.762,11.8
1.764,10.4
1.766,14.2
1.768,13.2
1.77,9.8
1.772,14.0
1.774,14.2
1.776,18.0
1.778,20.6
1.78,20.6
1.782,21.2
1.784,19.4
1.786,17.0
1.788,17.2
1.79,12.2
1.792,13.6
1.794,12.2
1.796,10.0
1.798,9.2
1.8,8.2
1.802,9.2
1.804,10.0
1.806,8.2
1.808,5.8
1.81,1.8
1.812,1.6
1.814,2.2
1.816,6.0
1.818,3.2
1.82,2.8
1.822,2.6
1.824,2.0
1.826,-0.4
1.828,-0.2
1.83,-2.0
1.832,-4.2
1.834,-4.2
1.836,2.8
1.838,1.6
1.84,0.8
1.842,-0.2
1.844,1.6
1.846,-3.6
1.848,-7.6
1.85,-6.8
1.852,-4.4
1.854,-4.4
1.856,-5.6
1.858,-0.6
1.86,-0.6
1.862,-1.4
1.864,-0.8
1.866,-2.0
1.868,-0.6
1.87,2.6
1.872,1.0
1.874,3.8
1.8760000000000001,2.2
1.8780000000000001,-0.8
1.8800000000000001,-2.0
1.8820000000000001,1.4
1.8840000000000001,-2.2
1.8860000000000001,-4.0
1.8880000000000001,-1.0
1.8900000000000001,2.8
1.8920000000000001,-0.2
1.8940000000000001,-1.6
1.8960000000000001,-3.4
1.8980000000000001,-0.4
1.9000000000000001,2.2
1.9020000000000001,0.8
1.9040000000000001,-0.6
1.9060000000000001,-0.4
1.9080000000000001,-2.2
1.9100000000000001,-5.8
1.9120000000000001,-4.4
1.9140000000000001,-1.8
1.9160000000000001,3.4
1.9180000000000001,5.8
1.92,1.8
1.922,-5.2
1.924,-6.0
1.926,-9.8
1.928,-7.0
1.93,-11.0
1.932,5.4
1.934,9.4
1.936,7.8
1.938,8.6
1.94,-0.8
1.942,-2.0
1.944,-0.8
1.946,-4.0
1.948,-5.0
1.95,-5.6
1.952,-2.2
1.954,-1.2
1.956,-3.0
1.958,-4.4
1.96,-3.6
1.962,-1.4
1.964,-0.2
1.966,1.0
1.968,-2.2
1.97,-4.8
1.972,-3.2
1.974,-5.2
1.976,-2.0
1.978,3.0
1.98,0.6
1.982,2.6
1.984,1.4
1.986,1.6
1.988,0.0
1.99,-2.2
1.992,-1.8
1.994,1.4
1.996,-0.2
1.998,0.2
2.0,0.2
2.0020000000000002,0.6
2.004,0.2
2.0060000000000002,-1.0
2.008,-1.0
2.0100000000000002,-0.8
2.012,-0.2
2.0140000000000002,4.2
2.016,3.2
2.0180000000000002,-1.2
2.02,-7.8
2.0220000000000002,-4.6
2.024,-2.2
2.0260000000000002,-2.8
2.028,-1.8
2.0300000000000002,1.8
2.032,0.8
2.0340000000000003,3.0
2.036,3.8
2.0380000000000003,-1.0
2.04,-1.6
2.0420000000000003,-0.2
2.044,1.2
2.0460000000000003,3.2
2.048,4.8
2.05,4.8
2.052,4.8
2.054,1.8
2.056,1.4
2.058,-4.6
2.06,0.4
2.062,6.0
2.064,3.4
2.066,4.2
2.068,4.0
2.07,2.2
2.072,-2.0
2.074,3.6
2.076,4.0
2.078,6.0
2.08,2.0
2.082,0.0
2.084,-2.4
2.086,2.4
2.088,-2.0
2.09,-3.2
2.092,-1.8
2.094,-2.2
2.096,-6.2
2.098,-4.4
2.1,-0.6
2.102,-0.6
2.104,0.8
2.106,1.4
2.108,3.4
2.11,6.6
2.112,2.8
2.114,-3.4
2.116,-9.4
2.118,-10.0
2.12,-7.2
2.122,1.0
2.124,4.0
2.126,2.6
2.128,-3.6
2.13,-4.2
2.132,-3.2
2.134,-5.6
2.136,-6.8
2.138,-3.0
2.14,-1.2
2.142,-1.2
2.144,-1.8
2.146,-3.4
2.148,-4.0
2.15,-6.4
2.152,-6.8
2.154,-7.8
